id,state,county,rate
25001,Massachusetts,Barnstable County,3.4
25003,Massachusetts,Berkshire County,3.9
25005,Massachusetts,Bristol County,4.7
25007,Massachusetts,Dukes County,2.7
25009,Massachusetts,Essex County,3.9
25011,Massachusetts,Franklin County,3.3
25013,Massachusetts,Hampden County,5.3
25015,Massachusetts,Hampshire County,3.6
25017,Massachusetts,Middlesex County,3.2
25019,Massachusetts,Nantucket County,1.8
25021,Massachusetts,Norfolk County,3.4
25023,Massachusetts,Plymouth County,4
25025,Massachusetts,Suffolk County,3.7
25027,Massachusetts,Worcester County,4.1
,,,,































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































,,,,
